predicate,functionality,inverse_functionality
http://data.europa.eu/949/trackId,1.0,5.510204081632653
http://data.europa.eu/949/umax2,1.0,139.0
http://data.europa.eu/949/switchProtectControlWarning,1.0,91.5
http://data.europa.eu/949/requiredSandingOverride,1.0,183.0
http://data.europa.eu/949/maxDistEndTrainFirstAxle,1.0,183.0
http://data.europa.eu/949/currentLimitationRequired,1.0,139.0
http://data.europa.eu/949/lineNationalId,1.0,25.0
http://data.europa.eu/949/raisedPantographsNumber,1.0,139.0
http://data.europa.eu/949/flangeLubeForbidden,1.0,183.0
http://data.europa.eu/949/raisedPantographsDistance,1.0,139.0
http://data.europa.eu/949/platformHeight,1.0,20.666666666666668
http://data.europa.eu/949/platformEdge,1.0,1.0
http://data.europa.eu/949/automaticDroppingDeviceRequired,1.0,139.0
http://data.europa.eu/949/hasSevereWeatherConditions,1.0,183.0
http://data.europa.eu/949/gsmRNoCoverage,1.0,169.0
http://data.europa.eu/949/passesThroughTunnel,2.0,1.0
http://www.opengis.net/ont/geosparql#hasGeometry,1.0,1.0
http://data.europa.eu/949/hasSystemSeparation,1.0,139.0
http://data.europa.eu/949/assistanceStartingTrain,1.0,66.0
http://data.europa.eu/949/maximumPermittedSpeed,1.0,18.3
http://data.europa.eu/949/lengthOfSiding,1.0,1.6058394160583942
http://data.europa.eu/949/eddyCurrentBraking,1.0,183.0
http://data.europa.eu/949/gaugingTransversalDocument,3.0,8.0
http://data.europa.eu/949/trackLoadCapability,1.0,1.0
http://data.europa.eu/949/netElement,2.0,4.0
http://data.europa.eu/949/gradient,1.0,24.666666666666668
http://data.europa.eu/949/tunnelIdentification,1.0,2.0
http://data.europa.eu/949/contactStripMaterialMetallicContent,1.0,139.0
http://www.w3.org/2003/01/geo/wgs84_pos#location,1.0,1.0
http://data.europa.eu/949/etcsLevel,1.0,1.0
http://data.europa.eu/949/trackRaisedPantographsDistanceAndSpeed,1.0,1.0
http://data.europa.eu/949/opStart,1.0,1.2894736842105263
http://data.europa.eu/949/areaBoardingAid,1.0,66.0
http://data.europa.eu/949/gaugingCheckLocation,1.5,1.0
http://data.europa.eu/949/trackPhaseInfo,1.0,1.0
http://data.europa.eu/949/gsmRAdditionalInfo,1.0,169.0
http://data.europa.eu/949/maximumContactWireHeight,1.0,139.0
http://data.europa.eu/949/opEnd,1.0,1.240506329113924
http://data.europa.eu/949/tsiCompliantRSTShuntImpedance,1.0,183.0
http://data.europa.eu/949/voiceRadioCompatible,1.0,169.0
http://data.europa.eu/949/maxFlangeHeight,1.0,183.0
http://data.europa.eu/949/kilometer,1.0,1.0303030303030303
http://data.europa.eu/949/freightCorridor,1.0,33.0
http://data.europa.eu/949/accelerationLevelCrossing,1.0,21.0
http://www.w3.org/2003/01/geo/wgs84_pos#lat,1.0,1.0
http://data.europa.eu/949/cantDeficiency,1.0,2.7083333333333335
http://data.europa.eu/949/uopid,1.0,1.0
http://data.europa.eu/949/platformId,1.0,9.428571428571429
http://data.europa.eu/949/documentUrl,1.0,1.0
http://data.europa.eu/949/localRulesOrRestrictionsDoc,1.0,7.0
http://data.europa.eu/949/tunnelDocRef,1.0,4.0
http://data.europa.eu/949/frenchTrainDetectionSystemLimitationApplicable,1.0,6.0
http://xmlns.com/foaf/0.1/name,1.0,1.0
http://data.europa.eu/949/tdsFrenchTrainDetectionSystemLimitation,1.0,1.0
http://data.europa.eu/949/frenchTrainDetectionSystemLimitationNumber,1.0,6.0
http://schema.org/url,1.0,1.0
http://data.europa.eu/949/phaseInfoPantographLowered,1.0,3.0
http://data.europa.eu/949/phaseInfoSwitchOffBreaker,1.0,3.0
http://data.europa.eu/949/endLocation,1.0,2.0
http://data.europa.eu/949/lineReferenceTunnelEnd,1.0,1.0
http://data.europa.eu/949/lengthOfTunnel,1.0,2.0
http://data.europa.eu/949/distSignToPhaseEnd,1.0,1.3333333333333333
http://data.europa.eu/949/phaseInfoChangeSupplySystem,1.0,3.0
http://data.europa.eu/949/phaseInfoLength,1.0,1.0
http://data.europa.eu/949/lineReferenceTunnelStart,1.0,1.0
http://www.w3.org/2003/01/geo/wgs84_pos#long,1.0,1.0
http://data.europa.eu/949/hasEmergencyPlan,1.0,4.0
http://data.europa.eu/949/phaseInfoKm,1.0,1.5
http://data.europa.eu/949/hotAxleBoxDetectorTSICompliant,1.0,6.0
http://data.europa.eu/949/localRulesOrRestrictions,1.0,7.0
http://www.opengis.net/ont/geosparql#asWKT,1.0,1.0
http://data.europa.eu/949/startLocation,1.0,2.0
http://data.europa.eu/949/phaseInfoDistanceType,1.0,3.0
